Date,Close
1/2/2014 16:00:00,54.71
1/3/2014 16:00:00,54.56
1/6/2014 16:00:00,57.2
1/7/2014 16:00:00,57.92
1/8/2014 16:00:00,58.23
1/9/2014 16:00:00,57.22
1/10/2014 16:00:00,57.94
1/13/2014 16:00:00,55.91
1/14/2014 16:00:00,57.74
1/15/2014 16:00:00,57.6
1/16/2014 16:00:00,57.19
1/17/2014 16:00:00,56.3
1/21/2014 16:00:00,58.51
1/22/2014 16:00:00,57.51
1/23/2014 16:00:00,56.63
1/24/2014 16:00:00,54.45
1/27/2014 16:00:00,53.55
1/28/2014 16:00:00,55.14
1/29/2014 16:00:00,53.53
1/30/2014 16:00:00,61.08
1/31/2014 16:00:00,62.57
2/3/2014 16:00:00,61.48
2/4/2014 16:00:00,62.75
2/5/2014 16:00:00,62.19
2/6/2014 16:00:00,62.16
2/7/2014 16:00:00,64.32
2/10/2014 16:00:00,63.55
2/11/2014 16:00:00,64.85
2/12/2014 16:00:00,64.45
2/13/2014 16:00:00,67.33
2/14/2014 16:00:00,67.09
2/18/2014 16:00:00,67.3
2/19/2014 16:00:00,68.06
2/20/2014 16:00:00,69.63
2/21/2014 16:00:00,68.59
2/24/2014 16:00:00,70.78
2/25/2014 16:00:00,69.85
2/26/2014 16:00:00,69.26
2/27/2014 16:00:00,68.94
2/28/2014 16:00:00,68.46
3/3/2014 16:00:00,67.41
3/4/2014 16:00:00,68.8
3/5/2014 16:00:00,71.57
3/6/2014 16:00:00,70.84
3/7/2014 16:00:00,69.8
3/10/2014 16:00:00,72.03
3/11/2014 16:00:00,70.1
3/12/2014 16:00:00,70.88
3/13/2014 16:00:00,68.83
3/14/2014 16:00:00,67.72
3/17/2014 16:00:00,68.74
3/18/2014 16:00:00,69.19
3/19/2014 16:00:00,68.24
3/20/2014 16:00:00,66.97
3/21/2014 16:00:00,67.24
3/24/2014 16:00:00,64.1
3/25/2014 16:00:00,64.89
3/26/2014 16:00:00,60.39
3/27/2014 16:00:00,60.97
3/28/2014 16:00:00,60.01
3/31/2014 16:00:00,60.24
4/1/2014 16:00:00,62.62
4/2/2014 16:00:00,62.72
4/3/2014 16:00:00,59.49
4/4/2014 16:00:00,56.75
4/7/2014 16:00:00,56.95
4/8/2014 16:00:00,58.19
4/9/2014 16:00:00,62.41
4/10/2014 16:00:00,59.16
4/11/2014 16:00:00,58.53
4/14/2014 16:00:00,58.89
4/15/2014 16:00:00,59.09
4/16/2014 16:00:00,59.72
4/17/2014 16:00:00,58.94
4/21/2014 16:00:00,61.24
4/22/2014 16:00:00,63.03
4/23/2014 16:00:00,61.36
4/24/2014 16:00:00,60.87
4/25/2014 16:00:00,57.71
4/28/2014 16:00:00,56.14
4/29/2014 16:00:00,58.15
4/30/2014 16:00:00,59.78
5/1/2014 16:00:00,61.15
5/2/2014 16:00:00,60.46
5/5/2014 16:00:00,61.22
5/6/2014 16:00:00,58.53
5/7/2014 16:00:00,57.39
5/8/2014 16:00:00,56.76
5/9/2014 16:00:00,57.24
5/12/2014 16:00:00,59.83
5/13/2014 16:00:00,59.83
5/14/2014 16:00:00,59.23
5/15/2014 16:00:00,57.92
5/16/2014 16:00:00,58.02
5/19/2014 16:00:00,59.21
5/20/2014 16:00:00,58.56
5/21/2014 16:00:00,60.49
5/22/2014 16:00:00,60.52
5/23/2014 16:00:00,61.35
5/27/2014 16:00:00,63.48
5/28/2014 16:00:00,63.51
5/29/2014 16:00:00,63.83
5/30/2014 16:00:00,63.3
6/2/2014 16:00:00,63.08
6/3/2014 16:00:00,62.87
6/4/2014 16:00:00,63.34
6/5/2014 16:00:00,63.19
6/6/2014 16:00:00,62.5
6/9/2014 16:00:00,62.88
6/10/2014 16:00:00,65.77
6/11/2014 16:00:00,65.78
6/12/2014 16:00:00,64.29
6/13/2014 16:00:00,64.5
6/16/2014 16:00:00,64.19
6/17/2014 16:00:00,64.4
6/18/2014 16:00:00,65.6
6/19/2014 16:00:00,64.34
6/20/2014 16:00:00,64.5
6/23/2014 16:00:00,65.37
6/24/2014 16:00:00,65.72
6/25/2014 16:00:00,67.44
6/26/2014 16:00:00,67.13
6/27/2014 16:00:00,67.6
6/30/2014 16:00:00,67.29
7/1/2014 16:00:00,68.06
7/2/2014 16:00:00,66.45
7/3/2014 16:00:00,66.29
7/7/2014 16:00:00,65.29
7/8/2014 16:00:00,62.76
7/9/2014 16:00:00,64.97
7/10/2014 16:00:00,64.87
7/11/2014 16:00:00,66.34
7/14/2014 16:00:00,67.9
7/15/2014 16:00:00,67.17
7/16/2014 16:00:00,67.66
7/17/2014 16:00:00,66.41
7/18/2014 16:00:00,68.42
7/21/2014 16:00:00,69.4
7/22/2014 16:00:00,69.27
7/23/2014 16:00:00,71.29
7/24/2014 16:00:00,74.98
7/25/2014 16:00:00,75.19
7/28/2014 16:00:00,74.92
7/29/2014 16:00:00,73.71
7/30/2014 16:00:00,74.68
7/31/2014 16:00:00,72.65
8/1/2014 16:00:00,72.36
8/4/2014 16:00:00,73.51
8/5/2014 16:00:00,72.69
8/6/2014 16:00:00,72.47
