Date,Close
1/2/2014 16:00:00,17.16
1/3/2014 16:00:00,17.18
1/6/2014 16:00:00,17.3
1/7/2014 16:00:00,17.32
1/8/2014 16:00:00,18.25
1/9/2014 16:00:00,18.08
1/10/2014 16:00:00,17.8
1/13/2014 16:00:00,17.55
1/14/2014 16:00:00,17.53
1/15/2014 16:00:00,17.41
1/16/2014 16:00:00,17.21
1/17/2014 16:00:00,17.05
1/21/2014 16:00:00,16.85
1/22/2014 16:00:00,17.11
1/23/2014 16:00:00,16.79
1/24/2014 16:00:00,16.72
1/27/2014 16:00:00,16.23
1/28/2014 16:00:00,16.42
1/29/2014 16:00:00,16.05
1/30/2014 16:00:00,16.13
1/31/2014 16:00:00,15.75
2/3/2014 16:00:00,15.25
2/4/2014 16:00:00,16.1
2/5/2014 16:00:00,15.9
2/6/2014 16:00:00,16.52
2/7/2014 16:00:00,16.82
2/10/2014 16:00:00,16.68
2/11/2014 16:00:00,17.11
2/12/2014 16:00:00,17.32
2/13/2014 16:00:00,17.2
2/14/2014 16:00:00,17.06
2/18/2014 16:00:00,17.34
2/19/2014 16:00:00,17.07
2/20/2014 16:00:00,17.17
2/21/2014 16:00:00,17.12
2/24/2014 16:00:00,17.4
2/25/2014 16:00:00,17.28
2/26/2014 16:00:00,17.38
2/27/2014 16:00:00,17.52
2/28/2014 16:00:00,17.55
3/3/2014 16:00:00,17.21
3/4/2014 16:00:00,17.36
3/5/2014 16:00:00,17.48
3/6/2014 16:00:00,17.86
3/7/2014 16:00:00,17.95
3/10/2014 16:00:00,18.04
3/11/2014 16:00:00,17.85
3/12/2014 16:00:00,17.84
3/13/2014 16:00:00,17.63
3/14/2014 16:00:00,17.17
3/17/2014 16:00:00,17.22
3/18/2014 16:00:00,17.15
3/19/2014 16:00:00,17.15
3/20/2014 16:00:00,17.61
3/21/2014 16:00:00,17.76
3/24/2014 16:00:00,17.65
3/25/2014 16:00:00,18.25
3/26/2014 16:00:00,18.05
3/27/2014 16:00:00,18.27
3/28/2014 16:00:00,18.65
3/31/2014 16:00:00,19.12
4/1/2014 16:00:00,19.44
4/2/2014 16:00:00,19.29
4/3/2014 16:00:00,19.09
4/4/2014 16:00:00,19.03
4/7/2014 16:00:00,19.05
4/8/2014 16:00:00,18.9
4/9/2014 16:00:00,18.82
4/10/2014 16:00:00,18.15
4/11/2014 16:00:00,18.38
4/14/2014 16:00:00,18.59
4/15/2014 16:00:00,18.55
4/16/2014 16:00:00,18.78
4/17/2014 16:00:00,18.71
4/21/2014 16:00:00,19
4/22/2014 16:00:00,18.68
4/23/2014 16:00:00,18.66
4/24/2014 16:00:00,18.15
4/25/2014 16:00:00,17.87
4/28/2014 16:00:00,17.95
4/29/2014 16:00:00,17.96
4/30/2014 16:00:00,17.64
5/1/2014 16:00:00,17.16
5/2/2014 16:00:00,17.63
5/5/2014 16:00:00,17.64
5/6/2014 16:00:00,17.51
5/7/2014 16:00:00,17.55
5/8/2014 16:00:00,17.49
5/9/2014 16:00:00,17.38
5/12/2014 16:00:00,17.45
5/13/2014 16:00:00,17.64
5/14/2014 16:00:00,16.5
5/15/2014 16:00:00,16.39
5/16/2014 16:00:00,16.38
5/19/2014 16:00:00,16.32
5/20/2014 16:00:00,16.01
5/21/2014 16:00:00,16.05
5/22/2014 16:00:00,16.18
5/23/2014 16:00:00,16.11
5/27/2014 16:00:00,16.64
5/28/2014 16:00:00,16.33
5/29/2014 16:00:00,16.21
5/30/2014 16:00:00,16.18
6/2/2014 16:00:00,16.29
6/3/2014 16:00:00,16.08
6/4/2014 16:00:00,16.24
6/5/2014 16:00:00,16.24
6/6/2014 16:00:00,16.1
6/9/2014 16:00:00,16.3
6/10/2014 16:00:00,16.18
6/11/2014 16:00:00,15.99
6/12/2014 16:00:00,16.09
6/13/2014 16:00:00,16.22
6/16/2014 16:00:00,16.26
6/17/2014 16:00:00,16.12
6/18/2014 16:00:00,16.3
6/19/2014 16:00:00,16.84
6/20/2014 16:00:00,16.97
6/23/2014 16:00:00,16.78
6/24/2014 16:00:00,16.64
6/25/2014 16:00:00,16.91
6/26/2014 16:00:00,16.81
6/27/2014 16:00:00,16.76
6/30/2014 16:00:00,16.77
7/1/2014 16:00:00,17.13
7/2/2014 16:00:00,16.92
7/3/2014 16:00:00,16.84
7/7/2014 16:00:00,16.93
7/8/2014 16:00:00,16.77
7/9/2014 16:00:00,16.79
7/10/2014 16:00:00,16.65
7/11/2014 16:00:00,16.66
7/14/2014 16:00:00,16.67
7/15/2014 16:00:00,16.53
7/16/2014 16:00:00,16.76
7/17/2014 16:00:00,16.7
7/18/2014 16:00:00,16.79
7/21/2014 16:00:00,16.71
7/22/2014 16:00:00,16.69
7/23/2014 16:00:00,16.89
7/24/2014 16:00:00,17.33
7/25/2014 16:00:00,17.68
7/28/2014 16:00:00,17.71
7/29/2014 16:00:00,17.47
7/30/2014 16:00:00,17.53
7/31/2014 16:00:00,18.43
8/1/2014 16:00:00,18.02
8/4/2014 16:00:00,18.3
8/5/2014 16:00:00,18.01
8/6/2014 16:00:00,17.75
8/7/2014 16:00:00,17.34
8/8/2014 16:00:00,17.42
8/11/2014 16:00:00,17.37
8/12/2014 16:00:00,17.36
8/13/2014 16:00:00,17.94
8/14/2014 16:00:00,18.07
8/15/2014 16:00:00,18.41
8/18/2014 16:00:00,18.52
8/19/2014 16:00:00,18.86
8/20/2014 16:00:00,18.95
8/21/2014 16:00:00,18.83
8/22/2014 16:00:00,18.86
8/25/2014 16:00:00,18.97
8/26/2014 16:00:00,18.87
8/27/2014 16:00:00,18.83
8/28/2014 16:00:00,18.9
8/29/2014 16:00:00,19.11
9/2/2014 16:00:00,19.4
9/3/2014 16:00:00,19.71
9/4/2014 16:00:00,19.62
9/5/2014 16:00:00,19.27
9/8/2014 16:00:00,19.21
9/9/2014 16:00:00,19.2
9/10/2014 16:00:00,19.5
9/11/2014 16:00:00,19.8
9/12/2014 16:00:00,19.82
9/15/2014 16:00:00,19.87
9/16/2014 16:00:00,20.25
9/17/2014 16:00:00,18.88
9/18/2014 16:00:00,18.04
9/19/2014 16:00:00,17.69
9/22/2014 16:00:00,17.36
9/23/2014 16:00:00,17.37
9/24/2014 16:00:00,17.35
9/25/2014 16:00:00,17.27
9/26/2014 16:00:00,17.42
9/29/2014 16:00:00,17.78
9/30/2014 16:00:00,18.04
10/1/2014 16:00:00,17.77
10/2/2014 16:00:00,17.46
10/3/2014 16:00:00,17.61
10/6/2014 16:00:00,17.76
10/7/2014 16:00:00,17.37
10/8/2014 16:00:00,17.79
10/9/2014 16:00:00,17.18
10/10/2014 16:00:00,17.12
10/13/2014 16:00:00,16.98
10/14/2014 16:00:00,17.05
10/15/2014 16:00:00,17.04
10/16/2014 16:00:00,16.89
10/17/2014 16:00:00,17.24
10/20/2014 16:00:00,17.53
10/21/2014 16:00:00,17.43
10/22/2014 16:00:00,17.63
10/23/2014 16:00:00,17.87
10/24/2014 16:00:00,17.72
10/27/2014 16:00:00,17.48
10/28/2014 16:00:00,17.72
10/29/2014 16:00:00,18.36
10/30/2014 16:00:00,18.72
10/31/2014 16:00:00,19.82
11/3/2014 16:00:00,20.16
11/4/2014 16:00:00,20.01
11/5/2014 16:00:00,20.18
11/6/2014 16:00:00,19.7
11/7/2014 16:00:00,19.62
11/10/2014 16:00:00,20.5
11/11/2014 16:00:00,20.71
11/12/2014 16:00:00,20.63
11/13/2014 16:00:00,20.41
11/14/2014 16:00:00,20.64
11/17/2014 16:00:00,20.26
11/18/2014 16:00:00,21.26
11/19/2014 16:00:00,20.81
11/20/2014 16:00:00,20.48
11/21/2014 16:00:00,21.24
11/24/2014 16:00:00,21.63
11/25/2014 16:00:00,21.93
11/26/2014 16:00:00,21.69
11/28/2014 16:00:00,21.99
12/1/2014 16:00:00,22.15
12/2/2014 16:00:00,21.96
12/3/2014 16:00:00,21.95
12/4/2014 16:00:00,22.12
12/5/2014 16:00:00,22.16
12/8/2014 16:00:00,21.15
12/9/2014 16:00:00,20.7
12/10/2014 16:00:00,20.79
12/11/2014 16:00:00,20.74
12/12/2014 16:00:00,20.33
12/15/2014 16:00:00,19.72
12/16/2014 16:00:00,19.72
12/17/2014 16:00:00,20.39
12/18/2014 16:00:00,21.14
12/19/2014 16:00:00,20.58
12/22/2014 16:00:00,20.78
12/23/2014 16:00:00,20.86
12/24/2014 16:00:00,21.32
12/26/2014 16:00:00,21.27
12/29/2014 16:00:00,21.17
12/30/2014 16:00:00,20.58
12/31/2014 16:00:00,20.47
1/2/2015 16:00:00,20.56
1/5/2015 16:00:00,20.26
1/6/2015 16:00:00,20.25
1/7/2015 16:00:00,21.53
1/8/2015 16:00:00,21.56
1/9/2015 16:00:00,21.34
1/12/2015 16:00:00,21.36
1/13/2015 16:00:00,21.18
1/14/2015 16:00:00,20.7
1/15/2015 16:00:00,20.93
1/16/2015 16:00:00,20.67
1/20/2015 16:00:00,20.82
1/21/2015 16:00:00,21.91
1/22/2015 16:00:00,22.17
1/23/2015 16:00:00,22.6
1/26/2015 16:00:00,23.37
1/27/2015 16:00:00,23.06
1/28/2015 16:00:00,23.46
1/29/2015 16:00:00,23.57
